Organization,Address,ZIP,Main Phone,Hours,Payment,Age Range Served,Other Languages,Behavioral Services Types,Crisis Services,Grief Services - Availability,Location
YWCA - Roseland Center,839 W. 115th St.,60643,773-302-2040,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;,false,false,POINT (-87.644133135 41.685000573)
YWCA - Parks Francis Center,6600 S. Cottage Grove Ave.,60637,773-955-3100,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;,false,false,POINT (-87.606334019 41.774726995)
University of Illinois Chicago Mile Square - South Shore,7037 S. Stony Island Ave.,60649,312-355-5590,"Weekdays: Monday 8am - 7pm; Tuesdays 9:30am - 6pm; Wednesday, Thursday, & Friday 8am - 6pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.585414968 41.766741011)
University of Illinois Chicago Mile Square - National Teacher's Academy Health and Wellness Center,55 W. Cermak Rd.,60616,312-413-3880,Weekdays: Monday - Friday 8:30am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;18-24 years old; 25-64 years old;18-24 years old;,,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,false,true,POINT (-87.628597025 41.851856011)
University of Illinois Chicago Mile Square - Main,1220 S. Wood St.,60608,312-996-2000,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Mandarin; Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,true,true,POINT (-87.671374474 41.866087039)
University of Illinois Chicago Mile Square - Humboldt Park Center,3240 W. Division St.,60651,312-413-7425,"Weekdays: Monday & Thursday 8:20am - 7:30pm; Tuesday, Wednesday, & Friday 8:20am - 5pm
Weekends: Saturday (2nd & 4th) 8:20am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish; Korean,Behavioral Health Consulting;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.70837204 41.903073002)
University of Illinois Chicago Mile Square - Hope Health and Wellness Center,1628 W. Washington Blvd.,60612,312-226-3288,"Weekdays: Monday, Tuesday, Wednesday, & Friday 8am - 4pm; Thursday 10am - 6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting;  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.66798803 41.883621999)
University of Illinois Chicago Mile Square - Englewood STEM Cook Satellite,8150 S Bishop St.,60620,312-996-2000,Weekdays: Monday-Friday 8am-4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;25-64 years old;18-24 years old,,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,false,true,POINT (-87.660074005 41.745491001)
University of Illinois Chicago Mile Square - Englewood Health and Wellness Center,6835 S. Normal Blvd.,60621,312-355-5901,Weekdays: Monday - Thursday 8:30am - 4:30pm; Friday 8:30am -12:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy;  Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychological Testing;,false,true,POINT (-87.636321032 41.770261997)
University of Illinois Chicago Mile Square - Englewood,641 W 63rd St.,60621,312-996-2000,Weekdays: Monday-Friday 9am-5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.641298961 41.779505979)
University of Illinois Chicago Mile Square - Dr. Cynthia Barnes-Boyd/Drake Health and Wellness Center,2710 S. Dearborn St.,60616,312-355-5746,Weekdays: Monday - Thursday 8:30am - 4:30pm; Friday 8:30am - 12:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term;Individual Psychotherapy - short term;,false,true,POINT (-87.628727028 41.843461996)
University of Illinois Chicago Mile Square - Davis-Brighton Park Satellite,3825 S Washtenaw Ave,60632,312-996-2000,Weekdays: Monday-Friday 8am-4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;Older than 64 years old;25-64 years old;18-24 years old,,Family Psychotherapy;Group Therapy or Support Groups;Individual Psychotherapy - long term;Individual Psychotherapy - short term;Behavioral Health Consulting;Case Management/Care Coordination;,false,true,POINT (-87.691761035 41.823570985)
University of Illinois Chicago Mile Square - Davis Health and Wellness Center,3050 W. 39th Pl.,60632,312-413-3090,"Weekdays: Monday, Tuesday, & Wednesday 8:30am - 4:30pm; Thursday 10am-6pm; Friday 8:30am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy;  Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Peer Support Services; Psychological Testing;,false,true,POINT (-87.701642042 41.822204987)
University of Illinois Chicago Mile Square - Back of the Yards,4630 S. Bishop St.,60609,312-996-2000,"Weekdays: Monday, Wednesday, Thursday, & Friday 7am - 5pm; Tuesday 9am - 5:30pm
Weekends: Saturday (In-clinic) 8am - 11am; (Telehealth only) 11:30am - 5:30 pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Psychiatry;,false,false,POINT (-87.661699004 41.809491986)
University of Illinois Chicago Mile Square - Auburn Gresham Health and Wellness Center,839 W. 79th St.,60620,312-492-1220,"Weekdays: Monday - Friday 8am - 5pm
Weekends: Saturday 8am - 11 am (In-clinic); 11:30am - 5:30pm (Telehealth only)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;Individual Psychotherapy - short term;,false,true,POINT (-87.645733993 41.750378991)
Trilogy - Main Office,1400 W. Greenleaf Ave.,60626,773-508-6100,Weekdays: Monday - Friday 8am - 4:30pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Case Management/Care Coordination;Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,true,true,POINT (-87.666520024 42.01058101)
Trilogy - Albany Park,3737 W. Lawrence Ave.,60625,773-765-2543,Weekdays: Monday - Friday 8am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.722074021 41.967981999)
Trellus - Peterson Office,2838 W. Peterson Ave.,60659,773-293-8430,Weekdays: Monday - Friday 8am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Arabic; Vietnamese; Tagalog,Group Therapy or Support Groups; Individual Psychotherapy - long term,false,false,POINT (-87.701025972 41.990692011)
Thresholds - Substance Use Treatment Center,3015 W. Harrison St.,60612,773-572-5500,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Case Management/Care Coordination; Community Support Teams; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.701627038 41.873469)
Thresholds - Schwartz Center,4423 N. Ravenswood Ave.,60640,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Assertive Community Treatment;Case Management/Care Coordination;Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.673564007 41.962303008)
Thresholds - Ogden,2240 W. Ogden Ave.,60612,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.682387972 41.868156005)
Thresholds - North Ravenswood,4101 N. Ravenswood Ave.,60613,775-572-5500,"Weekdays: Monday - Friday 9am - 5pm
Weekdays: Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Assertive Community Treatment;Case Management/Care Coordination;Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Peer Support Services; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.673403997 41.95630299)
Thresholds - Empowerment Center,1147 W. Balmoral Ave.,60640,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Case Management/Care Coordination; Community support individual; Peer Support Services,false,false,POINT (-87.659355887 41.979919026)
Thresholds - Emerge Mindstrong,2847 N. Clark St.,60657,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.645629974 41.934273002)
Thresholds - Bridge Southwest,3638 S. Kedzie Ave.,60632,773-572-5500,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Individual Psychotherapy - short term;Individual Psychotherapy - long term; Group Therapy or Support Groups; Assertive Community Treatment; Community Support Teams; Peer Support Services; Case Management/Care Coordination; Community Support Individual;,false,false,POINT (-87.70628503 41.827236014)
Thresholds - Bridge Southeast,6337 S. Woodlawn Ave.,60637,773-572-5500,Weekdays: Monday - Thursday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups;  Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.595850019 41.779675)
Thresholds - Bridge South,722 W. 47th St.,60609,773-572-5500,Weekdays: Monday - Thursday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Assertive Community Treatment; Case Management/Care Coordination; Community Support Individual; Community Support Teams; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.644059241 41.808947385)
The Family Institute at Northwestern University - The Bette D. Harris Family & Child Clinic,618 Library Pl.,60201,857-733-4300,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Community Support Teams; Individual Psychotherapy - short term;,false,false,POINT (-87.678109011 42.054730003)
The Family Institute at Northwestern University,"8 S. Michican Ave., 10th Floor",60603,857-733-4301,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Behavioral Health Consulting; Community Support Teams; Individual Psychotherapy - short term;,false,false,POINT (-87.624864982 41.881886987)
TCA Health - Chatham,8425 S. Cottage Grove Ave.,60619,773-995-6300,"Weekdays: Monday 9am - 6pm; Tuesday - Friday 8:30am - 5:30pm
Weekends: Saturday (3rd) 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,7-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.604525037 41.74129699)
TCA Health - Altgeld,1029 E. 130th St.,60628,773-995-6300,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 8:30am - 6:30pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,7-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.602595514 41.659051836)
Tapestry 360 Health - Devon,1300 W. Devon Ave.,60660,773-751-7850,"Weekdays: Monday, Tuesday, & Thursday 8:30am - 8pm; Wednesday & Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Group Therapy or Support Groups; Psychiatry;,false,false,POINT (-87.663307994 41.998361997)
St. Bernard Hospital - Outpatient Behavioral Health Services,326 W. 64th St.,60621,773 896-2624,"Weekdays: Monday 8am - 4:30pm; Tuesday, Wednesday, Thursday & Friday 8am - 6:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Chinese,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Inpatient Hospitalization for behavioral health; Intensive Outpatient Program; Peer Support Services; Psychiatry;,false,true,POINT (-87.633000038 41.778621018)
Sista Afya Community Care NFP,1817 E. 71st St.,60649,708-292-8730,Weekdays: Monday - Friday 9am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;,,Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,false,POINT (-87.580963004 41.765877005)
Sinai Medical Group - South Lawndale,1108 S. Kedzie Ave.,60612,773-722-2712,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.705774587 41.867653193)
Sinai HCH - Marquette Park,"2701 W 68th Street, 6th Floor",60629,773-884-8200,"Weekdays: Monday, Wednesday, Friday 8:30am-5:00pm; Tuesday and Thursday 7:00am-5:00pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.690959977 41.769295983)
Sinai Chicago - Under the Rainbow,1500 S. Fairfield Ave.,60608,773-257-4750,Weekdays: Monday - Friday 9am - 7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;,Spanish; ASL,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,false,POINT (-87.694730995 41.860828)
Sinai Chicago - Holy Cross Hospital Outpatient Behavioral Health Clinic,2601 W. Marquette Rd.,60629,773-565-2550,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Psychiatry;,false,true,POINT (-87.689538993 41.771379012)
Sinai Chicago -  Adult Outpatient Behavior Health,2653 W. Ogden Ave.,60608,773-257-5300,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.692940034 41.86174498)
Saint Anthony Hospital Community Wellness Program - Back of the Yards,4600 S. Wood St.,60609,773-523-5079,Weekdays: 8:30am - 4pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.670215018 41.81022599)
Resilience - Central Office,"180 N. Michigan Ave., Suite 600",60601,312-443-9603,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Group Therapy or Support Groups;,true,false,POINT (-87.624958021 41.885524984)
"Renaissance Social Services, Inc. - Living Room","4835 W. Chicago Ave., Unit 2",60651,312-350-2784,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 4pm - 12am",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,,Living Room Mental Health Crisis Services; Peer Support Services;,true,false,POINT (-87.747172959 41.89468498)
PrimeCare - Young Family Clinic,"1431 N. Western Ave., Suite 202",60622,773-276-2272,"Weekdays: Monday 8am - 7pm; Tuesday 9am - 5pm; Wednesday 9am - 7pm; Thursday & Friday 8am - 5pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-18 years old,,Behavioral Health Consulting; Individual Psychotherapy - long term,false,false,POINT (-87.686771959 41.90830201)
PrimeCare - Wicker Park Health Center,"1127 N. Oakley Blvd., 2nd Floor",60622,312-770-2040,"Weekdays: Monday, Wednesday, & Friday 8am - 5pm; Tuesday 12:30pm - 8pm; Thursday 8am - 8pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Long Term Therapy Services;,false,false,POINT (-87.684468073 41.901996853)
PrimeCare - West Town Health Center,"1431 N. Western Ave., Suite 406",60622,312-491-5250,"Monday, Wednesday, & Friday 8am - 5pm; 
Tuesday 8am - 12:30pm (Psychiatry hours), 1pm - 8pm (Medical hours); Thursday 7:30am - 8pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Long Term Therapy Services;,false,false,POINT (-87.686771959 41.90830201)
PrimeCare - Northwest Health Center,1649 N. Pulaski Rd.,60639,773-278-6868,"Weekdays: Monday 8:30am - 5pm; Tuesday 10am - 5pm; Wednesday 8am - 8pm; Thursday & Friday 8am - 5pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,false,false,POINT (-87.726031033 41.911469992)
PrimeCare - Hamlin Health Center,1920 N. Hamlin Ave.,60647,773-772-7202,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old,,Behavioral Health Consulting  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.722482974 41.91619902)
PrimeCare - Fullerton Health Center,3924 W. Fullerton Ave.,60647,773-276-2229,"Weekdays: Monday 7am - 8pm; Tuesday 9:30am - 5pm; Wednesday - Friday 7am - 5pm
Weekends: Saturday 8am-2pm (1st, 2nd, 3rd, & 4th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,false,false,POINT (-87.72536199 41.924775006)
PrimeCare - Belmont Cragin Long Term Therapy Services,5635 W. Belmont Ave.,60634,773-736-1830,"Weekdays: Monday & Wednesday 7am - 8pm; Tuesday & Friday 9am - 5pm; Thursday 9am - 8pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Psychiatry;,false,false,POINT (-87.767881038 41.938200007)
