Organization,Address,ZIP,Main Phone,Hours,Payment,Age Range Served,Other Languages,Behavioral Services Types,Crisis Services,Grief Services - Availability,Location
Pilsen Wellness Center - Youth Wellness Center,2259 S. Damen Ave.,60608,872-281-7575,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Spanish,Case Management/Care Coordination; Individual Management; Psychiatry; Psychotherapy;,true,true,POINT (-87.675524032 41.85065698)
Pilsen Wellness Center - SUTS Chicago,3113 W. Cermak Rd.,60623,773-277-3413,"Weekdays: Monday - Friday 6am - 8pm
Weekends: Saturday 7am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term; Psychological Testing;,false,true,POINT (-87.703467034 41.851531003)
Pilsen Wellness Center - South Shore,2938 E. 89th St.,60617,872-228-0080,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 4pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry; Psychological Testing;,false,true,POINT (-87.55234199 41.733902014)
Pilsen Wellness Center - Pilsen Inn,2635 W. 23rd St.,60608,773-890-0645,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.691903025 41.849863004)
Pilsen Wellness Center - ORC,2015 W. Cermak Rd.,60608,773-890-0645,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry; Psychological Testing;,false,true,POINT (-87.67650396 41.851943015)
Pilsen Wellness Center - Gage Park,3232 W. 55th St.,60632,773-424-3368,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Psychiatry; Psychotherapy;,false,false,POINT (-87.704970999 41.793679987)
Pilsen Wellness Center - CILA,2316 S. Damen Ave.,60608,773-927-6987,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old; Males,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Intensive Outpatient Program; Individual Psychotherapy - short term;,false,true,POINT (-87.67588694 41.849722685)
Pilsen Wellness Center - Brighton Park,2456 W. 38th St.,60632,773-823-7743,Weekdays: Monday - Friday 9am - 8pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry; Psychological Testing;,false,true,POINT (-87.68671404 41.825267985)
Pilsen Wellness Center - Administration Site,2319 S. Damen Ave.,60608,773-579-0832,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Psychiatry; Psychotherapy;,false,false,POINT (-87.675453959 41.849669005)
Phoenix Clinic Chicago,"1136 S. Delano Ct., Suite B201",60605,773-431-7397,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 8pm; Sunday 9am - 9pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.632983023 41.868305999)
PCC Community Wellness Center - Salud Family Health Center,5359 W. Fullerton Ave.,60639,773-836-2785,"Weekdays: Monday - Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,false,false,POINT (-87.760763042 41.92377098)
PCC Community Wellness Center - Lake Street Family Health Center,14 W. Lake St.,60644,708-383-0113,"Weekdays: Monday, Tuesday, Wednesday, & Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday: 8am - 12 pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Peer Support Services; Psychiatry;,false,false,POINT (-87.628256682 41.885817309)
PCC Community Wellness Center - Austin Family Health Center,5425 W. Lake St.,60644,773-378-3347,"Weekdays: Monday - Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,false,POINT (-87.761427978 41.887040013)
Nourishing Hope - Sheridan,3945 N. Sheridan Rd.,60613,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Polish; Spanish,Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.654103994 41.953994991)
Nourishing Hope - La Casa Norte,3533 W. North Ave.,60647,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Polish; Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.715746019 41.909712014)
Nourishing Hope - Headquarters,1716 W. Hubbard St.,60622,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Polish; Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.670232033 41.890084991)
NAMI Chicago,"1801 W. Warner Ave., Suite 202",60613,312-563-0445,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old;13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old,Spanish,Case Management/Care Coordination; Helpline; Peer Support Services;,false,false,POINT (-87.674542008 41.956695012)
MYSI Corporation,3001 W. 111th St.,60655,773-840-4600,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - short term; Individual Psychotherapy - long term;,false,false,POINT (-87.696469989 41.691354006)
Midwest Asian Health Association Community Mental Health Clinic - Chinatown,218 W 26th St.,60616,312-285-2287,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Chinese; Malay; Mandarin;,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term;,false,false,POINT (-87.632678006 41.845780011)
Metropolitan Family Services - Calumet Center,235 E. 103rd St.,60628,773-371-3642,"Weekdays: Monday & Friday 8:30am - 5pm; Tuesday, Wednesday, & Thursday 8:30am - 8pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;  Peer Support Services; Psychiatry;,false,true,POINT (-87.617346595 41.707212688)
Lutheran Social Services of Illinois - Welcoming Center,"5215 N. California Ave., Suite F101",60625,773-561-5809,Weekdays: Monday - Friday 8am - 7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Group therapy/support groups; Individual Counseling; Psychiatry;,true,true,POINT (-87.698577031 41.976311012)
Lutheran Social Services of Illinois - Portage Cragin Counseling Center,4840 W. Byron St.,60641,773-282-7800,Weekdays: Monday - Thursday 9am - 9pm; Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Polish; Spanish,Behavioral Health Consulting; Community Support Teams; Family Psychotherapy; Group Therapy/Support Groups; Individual Counseling; Psychiatry;  SU Outpatient Treatment;,true,true,POINT (-87.748737022 41.95176398)
Lutheran Social Services of Illinois - Addiction Treatment Center - Kenmore,5517 N. Kenmore Ave.,60640,773-275-7962,Weekdays: Monday - Thursday 9am - 9pm; Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Residential Rehabilitation; Individual SU Counseling;,false,false,POINT (-87.656185975 41.982431981)
Lawndale Christian Health Center - Main Clinic,3860 W. Ogden Ave.,60623,872-588-3000,"Weekdays: Monday 8:30am - 7pm; Tuesday 7:15am - 7pm; Wednesday - Friday 7:15am - 5pm
Weekends: Saturday 8am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - short term;,false,false,POINT (-87.722023981 41.852453012)
Lawndale Christian Health Center - I AM ABLE Site,3410 W. Roosevelt Rd.,60624,773-826-2929,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Case Management/Care Coordination;Individual Psychotherapy - short term;,true,false,POINT (-87.711078975 41.866592989)
Lawndale Christian Health Center - Homan Square,3517 W. Arthington St.,60624,872-588-3510,"Weekdays: Monday & Tuesday 7:15am - 7pm; Wednesday, Thursday, & Friday 8:30am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,false,false,POINT (-87.713376036 41.869208017)
Lawndale Christian Health Center - Farragut,3256 W. 24th St.,60623,872-588-3540,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,false,false,POINT (-87.706882949 41.848191701)
Lawndale Christian Health Center - Breakthrough Clinic,3219 W. Carroll Ave.,60624,872-588-3580,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,false,false,POINT (-87.707101008 41.887208993)
Lawndale Christian Health Center - Archer Ave,5122 S. Archer Ave.,60632,872-588-3560,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.730428012 41.800883017)
IWS Family Health - Angel Harvey Family Health Center,3600 W. Fullerton Ave.,60647,773-782-2800,"Weekdays: Monday, Wednesday, & Thursday 8am - 8pm; Tuesday 8am - 6pm; Friday 8am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,false,POINT (-87.717270017 41.924913014)
Inner-City Muslim Action Network (IMAN),2744 W. 63rd St.,60629,773-434-4626,"Weekdays: Monday, Tuesday, Thursday, & Friday 9am - 5pm; Wednesday 11am - 7pm
Weekends: Saturday 8am - 12pm; Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Arabic; Spanish; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,false,true,POINT (-87.692741969 41.779337)
Inner-City Muslim Action Network (IMAN),2749 W. 63rd St.,60629,773-434-4626,"Weekdays: Monday, Tuesday, Thursday, & Friday 9am - 5pm; Wednesday 11am - 7pm
Weekends: Saturday 8am - 12pm; Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Arabic; Spanish; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,false,true,POINT (-87.692926036 41.77890902)
Humboldt Park Health,1044 N. Francisco Ave.,60622,773-292-8200,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,Spanish;Tagalog;,Behavioral Health Consulting; Case Management/Care Coordination; Inpatient Hospitalization for behavioral health; Intensive Outpatient Program; Psychiatry;,false,false,POINT (-87.699637007 41.900779)
HRDI - Community Triage Center,200 E. 115th St.,60628,773-291-2500,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Crisis Services;,true,false,POINT (-87.617653025 41.68556098)
HRDI,340 E. 51st St.,60615,773-966-0333,Weekdays: Monday - Friday 6:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,true,false,POINT (-87.617655037 41.802364016)
Howard Brown Health - Threshold South,734 W. 47th St.,60609,773-388-1600,"Weekdays: Monday, Wednesday, Thursday, & Friday 9am - 5pm; Tuesday, 10am - 7pm
Weekends: Saturday (3rd) 10am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old; 25-64 years old; Older than 64 years old,ASL; Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,false,POINT (-87.644556001 41.809075992)
Howard Brown Health - Sheridan,4025 N. Sheridan Rd.,60613,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.65416996 41.95520802)
Howard Brown Health - La Casa Norte,3533 W. North Ave.,60647,773-388-1600,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday 10am - 5pm; Thursday 11am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.715746019 41.909712014)
Howard Brown Health - Halsted,3245 N. Halsted St.,60657,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.649084994 41.941289996)
Howard Brown Health - Counseling Center,3948 N. Sheridan Rd.,60613,773-388-1600,On-site services at this location are currently suspended,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term; Psychiatry;,true,false,POINT (-87.654893989 41.954266984)
Howard Brown Health - Clark,6500 N. Clark St.,60626,773-388-1600,"Weekdays: Monday, Wednesday, & Thursday 9am - 7pm; Tuesday 10am - 7pm; Friday 9am - 5pm
Weekends: Saturday 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.671669027 41.999918014)
Howard Brown Health - Broadway Youth Center,1023 W. Irving Park Rd.,60613,773-388-1600,"Weekdays: (Drop-in) Monday, Tuesday, Thursday, & Friday 9am- 3pm; Wednesday 1 - 5pm; (Walk-in Clinic) Monday, Tuesday, Thursday, & Friday 10am - 6pm; Wednesday 1pm-6pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old,,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term;,false,false,POINT (-87.655506035 41.95425198)
Howard Brown Health - 63rd St.,641 W. 63rd St.,60621,773-388-1600,"Weekdays: Monday & Friday 9am - 5pm; Tuesday 10am - 5pm; Wednesday & Thursday 9am - 7pm
Weekends: Saturday (1st, 2nd, 3rd, and 4th) 9am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - short term;,false,false,POINT (-87.641298961 41.779505979)
Howard Brown Health - 55th St.,1525 E. 55th St.,60637,773-388-1600,"Weekdays: Monday, Wednesday, & Friday 9am - 5pm; Tuesday 10am - 6pm; Thursday 9am - 8pm
Weekends: Saturday 11am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,false,false,POINT (-87.588042024 41.794884005)
Heartland Alliance Health - West Loop (inside Haymarket),"932 W. Washington Ave., #224",60607,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,false,false,POINT (-87.881473461 42.281535654)
Heartland Alliance Health - Uptown,1015 West Lawrence Ave.,60640,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,false,true,POINT (-87.655307971 41.968946001)
Heartland Alliance Health - Englewood,5501 S. Halsted Ave.,60621,773-275-2586,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old;25-64 years old; Older than 64 years old,,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,false,true,POINT (-87.644807961 41.793758986)
Healthcare Alternative Systems (HAS) - Western Location,4534 S. Western Ave.,60690,773-254-5141,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;  Psychological Testing; Psychiatry;,false,false,POINT (-87.684785029 41.810938996)
Healthcare Alternative Systems (HAS) - Belmont Cragin Location,5001 W. Fullerton Ave.,60639,773-745-7107,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;  Psychological Testing; Psychiatry;,true,false,POINT (-87.751388973 41.923947)
